uai - identifiant;Libellé;sigle;type d'établissement;Secteur d'établissement;Site internet;Géolocalisation;rattachement;rattachement_identifiants;dernier_decret_legifrance;localisation;Code commune;Commune;Code unité urbaine;Unité urbaine;Code département;Département;Code académie;Académie;Code région;Région;Mention distribution;Adresse;Lieu dit;Boite postale;Code postal;Localité;Pays;Numéro de téléphone;siret;Identifiant GRID;identifiant_eter;statut_juridique_court;Statut juridique;qualification_court;Qualification;compte_facebook;compte_twitter;compte_flickr;flux_rss;compte_linkedin;compte_pinterest;compte_france_culture;compte_scribd;compte_scoopit;compte_tumblr;compte_viadeo;compte_dailymotion;compte_vimeo;compte_youtube;compte_googleplus;autres;mooc;statut_operateur_lolf;libelle_mission_chef_de_file;identifiant_programme_lolf_chef_de_file;libelle_programme_lolf_chef_de_file;identifiants_autres_programmes_lolf;libelles_autres_programmes_lolf;association;association_identifiants;Identifiant wikidata;Elément GRID;Identifiant OrgRef;Identifiant ISNI;Elément ISNI;Elément Funding Data;Ancien code région;Ancienne région;English name;Elément wikidata;Effectifs d'étudiants inscrits 2010-11;Effectifs d'étudiants inscrits 2011-12;Effectifs d'étudiants inscrits 2012-13;Effectifs d'étudiants inscrits 2013-14;Effectifs d'étudiants inscrits 2014-15;Effectifs d'étudiants inscrits 2015-16;Effectifs d'étudiants inscrits 2016-17;Effectifs d'étudiants inscrits 2017-18;typologie d'universités et assimilés;implantations;compte_instagram;Site internet en anglais;Site internet en chinois;siren;Identifiant Funding Data;Page Wikipédia en Français;Site internet en allemand;Site internet en espagnol;Site internet en italien;article;Anciens codes uai
0251215K;Université de Franche-Comté;UFC;Université;Public;http://www.univ-fcomte.fr/;47.2408, 6.02265;;;;Bourgogne-Franche-Comté>Besançon>Doubs>Besançon;25056;Besançon;UU25602;Besançon;D025;Doubs;A03;Besançon;R27;Bourgogne-Franche-Comté;;1 RUE GOUDIMEL;;;25030;BESANCON CEDEX;France;0381666666;19251215000363;grid.7459.f;FR0022;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/UniversiteFrancheComte;;;;;;;;;;;;;;https://plus.google.com/117389242538948837/posts#117389242538948837/posts;;https://www.fun-mooc.fr/universities/univ-fcomte/;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;;Q829449;https://www.grid.ac/institutes/grid.7459.f;12797301;0000 0001 2188 3779;http://isni.org/isni/0000000121883779;;R43;Franche-Comté;University of Franche-Comté;https://www.wikidata.org/entity/Q829449;19578;19629;19627;19641;19654;20314;21022;20506;Université pluridisciplinaire avec santé;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0251215K;;;;192512150;;https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Franche-Comt%C3%A9;;;;à l';
0623957P;Université d'Artois;;Université;Public;http://www.univ-artois.fr/;50.2849, 2.79104;;;;Hauts-de-France>Lille>Pas-de-Calais>Arras;62041;Arras;UU62502;Arras;D062;Pas-de-Calais;A09;Lille;R32;Hauts-de-France;;9 RUE DU TEMPLE;;BP 10665;62030;ARRAS CEDEX;France;0321603700;19624401600016;grid.49319.36;FR0132;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/pages/Universit%C3%A9-dArtois/144544385619368;https://twitter.com/Univ_Artois;;;;;;;;;http://fr.viadeo.com/fr/profile/universit%C3%A9.d-artois1;;;http://www.youtube.com/user/UniversiteArtois;;http://podcast.univ-artois.fr/;https://www.fun-mooc.fr/universities/universite-dartois/;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;;Q475504;https://www.grid.ac/institutes/grid.49319.36;13408704;0000 0001 2364 777X;http://isni.org/isni/000000012364777X;;R31;Nord-Pas-de-Calais;Artois University;https://www.wikidata.org/entity/Q475504;11404;10818;11371;10956;10135;10899;11091;11529;Université pluridisciplinaire hors santé;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0623957P;;;;196244016;;https://fr.wikipedia.org/wiki/Universit%C3%A9_d%27Artois;;;;à l';
0561718N;Université de Bretagne-Sud;UBS;Université;Public;http://www.univ-ubs.fr/;47.7461, -3.39083;;;;Bretagne>Rennes>Morbihan>Lorient;56121;Lorient;UU56601;Lorient;D056;Morbihan;A14;Rennes;R53;Bretagne;;27 RUE ARMAND GUILLEMOT;;BP 92116;56321;LORIENT CEDEX;France;;19561718800600;grid.267180.a;FR0108;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/pages/Universit%C3%A9-de-Bretagne-Sud/27514648#!/pages/Universit%C3%A9-de-Bretagne-Sud/27514648;https://twitter.com/ubs_jpo;;http://www.univ-ubs.fr/les-flux-rss-de-l-universite-18896.kjsp?RH=UBS_FR;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;;Q1125958;https://www.grid.ac/institutes/grid.267180.a;13954905;0000 0001 2168 0285;http://isni.org/isni/0000000121680285;;R53;Bretagne;University of South Brittany;https://www.wikidata.org/entity/Q1125958;8578;8487;8385;8590;8129;8556;8194;8245;Université pluridisciplinaire hors santé;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0561718N;;http://www.univ-ubs.fr/home-188100.kjsp?RH=UBS_FR&RF=UBS_EN;;195617188;;https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Bretagne-Sud;;;;à l';
0593279U;Université polytechnique des hauts de France;UPHF;Université;Public;http://www.univ-valenciennes.fr/;50.3267, 3.51141;;;;Hauts-de-France>Lille>Nord>Valenciennes>Aulnoy-lez-Valenciennes;59032;Aulnoy-lez-Valenciennes;UU59701;Valenciennes;D059;Nord;A09;Lille;R32;Hauts-de-France;;;LE MONT HOUY;;59300;AULNOY LEZ VALENCIENNES;France;0327511234;19593279300019;grid.12810.3a;FR0122;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/univ.valenciennes.page.officielle;;;http://www.univ-valenciennes.fr/rss.xml;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;;Q1548539;https://www.grid.ac/institutes/grid.12810.3a;13468827;0000 0001 0790 1416;http://isni.org/isni/0000000107901416;;R31;Nord-Pas-de-Calais;University of Valenciennes and Hainaut-Cambresis;https://www.wikidata.org/entity/Q1548539;10186;10051;10110;10243;10369;10849;11361;11878;Université pluridisciplinaire hors santé;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0593279U;;;;195932793;;https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Valenciennes;;;;à l';
0660437S;Université de Perpignan - Via Domitia;;Université;Public;http://www.univ-perp.fr/;42.6844, 2.89854;;;;Occitanie>Montpellier>Pyrénées-Orientales>Perpignan;66136;Perpignan;UU66601;Perpignan;D066;Pyrénées-Orientales;A11;Montpellier;R76;Occitanie;;52 AVENUE PAUL ALDUY;;;66860;PERPIGNAN CEDEX 9;France;0468662000;19660437500010;grid.11136.34;FR0144;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/UPVD66;https://twitter.com/upvd1;;;;;http://plus.franceculture.fr/partenaires/perpignan-domitia-universite;;;;;;;;;;https://www.fun-mooc.fr/universities/UPVD/;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;;Q304872;https://www.grid.ac/institutes/grid.11136.34;13889333;0000 0001 2192 5916;http://isni.org/isni/0000000121925916;http://dx.doi.org/10.13039/501100004223;R91;Languedoc-Roussillon;University of Perpignan;https://www.wikidata.org/entity/Q304872;9842;8782;8583;8636;8673;8773;8975;9057;Université pluridisciplinaire hors santé;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0660437S;;;;196604375;501100004223;https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Perpignan;;;;à l';
0751723R;Université Paris Diderot;;Université;Public;http://www.univ-paris-diderot.fr/;48.8302, 2.3807;;;;Île-de-France>Paris>Paris 13e;75113;Paris 13e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;;5 RUE THOMAS MANN;;;75205;PARIS CEDEX 13;France;0144274427;19751723800659;grid.7452.4;FR0180;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/univparisdiderot;https://twitter.com/ParisDiderot;;http://www.univ-paris-diderot.fr/universite/rssActu1.php;;;;;;;;;;;;;https://www.fun-mooc.fr/universities/parisdiderot/;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;;Q1235608;https://www.grid.ac/institutes/grid.7452.4;2626467;0000 0001 2217 0017;http://isni.org/isni/0000000122170017;http://dx.doi.org/10.13039/501100005736;R11;Île-de-France;Paris Diderot University;https://www.wikidata.org/entity/Q1235608;26394;24901;24289;24443;23250;24559;25889;25624;Université pluridisciplinaire avec santé;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0751723R;;;;197517238;501100005736;https://fr.wikipedia.org/wiki/Universit%C3%A9_Paris-Diderot;;;;à l';
0681166Y;Université de Haute-Alsace;UHA;Université;Public;http://www.uha.fr/;47.7323, 7.31485;;;;Grand Est>Strasbourg>Haut-Rhin>Mulhouse;68224;Mulhouse;UU68701;Mulhouse;D068;Haut-Rhin;A15;Strasbourg;R44;Grand Est;;2 RUE DES FRERES LUMIERE;;;68093;MULHOUSE CEDEX;France;0389336000;19681166500013;grid.9156.b;FR0150;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/UHA68;https://twitter.com/UHA68;;;;;;;;;;;;;https://plus.google.com/u//1843824938262641165/posts;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;;Q280183;https://www.grid.ac/institutes/grid.9156.b;14271867;0000 0004 0473 5039;http://isni.org/isni/0000000404735039;;R42;Alsace;University of Upper Alsace;https://www.wikidata.org/entity/Q280183;7974;7754;7539;7444;7692;8069;8310;9651;Université pluridisciplinaire hors santé;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0681166Y;;;;196811665;;https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Haute-Alsace;;;;à l';
7200664J;Université de Corse Pasquale Paoli;;Université;Public;https://www.universita.corsica/fr/;42.3065, 9.15214;;;;Corse>Haute-Corse>Corte;2B096;Corte;UU2B203;Corte;D02B;Haute-Corse;A27;Corse;R94;Corse;;7 AVENUE J NICOLI;;BP 52;20250;CORTE;France;0495450000;19202664900017;grid.412058.a;FR0281;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/univcorse;https://twitter.com/univcorse;;https://www.universita.corsica/fr/flux-rss/;https://www.linkedin.com/school/108597?pathWildcard=108597;;http://plus.franceculture.fr/partenaires/corse-pasquale-paoli;;;;http://fr.viadeo.com/fr/company/universite-de-corse-pasquale-paoli;http://www.dailymotion.com/univcorse;;https://www.youtube.com/c/univcorse;https://plus.google.com/+univcorse;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;;Q335841;https://www.grid.ac/institutes/grid.412058.a;13398546;0000 0001 2177 0037;http://isni.org/isni/0000000121770037;;R94;Corse;University of Corsica Pascal Paoli;https://www.wikidata.org/entity/Q335841;3820;3732;3762;3824;3703;3726;3775;3923;Université pluridisciplinaire hors santé;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=7200664J;https://www.instagram.com/univcorse/;https://www.universita.corsica/en/;;192026649;;https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Corse-Pascal-Paoli;;;https://www.universita.corsica/it/;à l';
0830766G;Université de Toulon;;Université;Public;http://www.univ-tln.fr/;43.1369, 6.01684;;;;Provence-Alpes-Côte d'Azur>Nice>Var>Toulon>La Garde;83062;La Garde;UU00757;Toulon;D083;Var;A23;Nice;R93;Provence-Alpes-Côte d'Azur;;;;CS 60584;83041;TOULON CEDEX 9;France;0494142000;19830766200017;grid.12611.35;FR0234;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/pages/Universit%C3%A9-de-Toulon/155673624745?v=wall;https://twitter.com/univtoulon;http://www.flickr.com/photos/univ-sud-toulon-var/;http://www.univ-tln.fr/backend.php3;;;http://plus.franceculture.fr/partenaires/toulon;;;;;;;http://www.youtube.com/user/univtoulon/feed;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;;Q1816857;https://www.grid.ac/institutes/grid.12611.35;13958165;0000000088437055;http://isni.org/isni/0000000088437055;;R93;Provence-Alpes-Côte d'Azur;University of Toulon;https://www.wikidata.org/entity/Q1816857;9122;9056;8596;8507;8760;9188;9439;9689;Université pluridisciplinaire hors santé;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0830766G;https://www.instagram.com/univtoulon/;http://www.univ-tln.fr/-University-of-Toulon-.html;;198307662;;https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Toulon;;;;à l';
0921204J;Université Paris Nanterre;;Université;Public;http://www.u-paris10.fr/;48.9035, 2.21448;;;;Île-de-France>Versailles>Hauts-de-Seine>Paris>Nanterre;92050;Nanterre;UU00851;Paris;D092;Hauts-de-Seine;A25;Versailles;R11;Île-de-France;;200 AVENUE DE LA REPUBLIQUE;;;92001;NANTERRE CEDEX;France;0140977200;19921204400010;grid.7902.c;FR0255;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/universite.paris.ouest;https://twitter.com/ParisOuest;;;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;;Q1394262;https://www.grid.ac/institutes/grid.7902.c;2396225;0000 0001 2156 4014;http://isni.org/isni/0000000121564014;;R11;Île-de-France;Paris West University Nanterre La Défense;https://www.wikidata.org/entity/Q1394262;29866;31807;31928;32381;31459;31606;31001;30370;Université tertiaire - lettres et sc. Humaines;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0921204J;;;;199212044;;https://fr.wikipedia.org/wiki/Universit%C3%A9_Paris-Ouest-Nanterre-La-D%C3%A9fense;;;;à l';
0691774D;Université Claude Bernard - Lyon 1;;Université;Public;http://www.univ-lyon1.fr/;45.782, 4.86651;;;;Auvergne-Rhône-Alpes>Lyon>Rhône>Lyon>Villeurbanne;69266;Villeurbanne;UU00758;Lyon;D069;Rhône;A10;Lyon;R84;Auvergne-Rhône-Alpes;;43 BOULEVARD DU 11 NOVEMBRE 1918;;;69622;VILLEURBANNE CEDEX;France;0472448016;19691774400019;grid.7849.2;FR0157;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/UnivLyon1;https://twitter.com/UnivLyon1;;http://feeds.feedburner.com/UnivLyon1;;;;;;;;;;http://www.youtube.com/user/UnivLyon1;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;;Q4032;https://www.grid.ac/institutes/grid.7849.2;5124933;0000 0001 2150 7757;http://isni.org/isni/0000000121507757;http://dx.doi.org/10.13039/501100006687;R82;Rhône-Alpes;Université Claude Bernard Lyon 1;https://www.wikidata.org/entity/Q4032;32215;32784;33853;33585;34049;36678;37370;38002;Université scientifique et/ou médicale;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0691774D;;;;196917744;501100006687;https://fr.wikipedia.org/wiki/Universit%C3%A9_Claude-Bernard-Lyon-I;;;;à l';
0720916E;Le Mans Université;;Université;Public;http://www.univ-lemans.fr/;48.0148, 0.159251;;;;Pays de la Loire>Nantes>Sarthe>Le Mans;72181;Le Mans;UU72701;Le Mans;D072;Sarthe;A17;Nantes;R52;Pays de la Loire;;AVENUE OLIVIER MESSIAEN;;BP 535;72017;LE MANS CEDEX 1;France;0243833000;19720916600010;grid.34566.32;FR0169;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/pages/Universit%C3%A9-du-Maine/19321575362?ref=ts&fref=ts&rf=1218219831277;https://twitter.com/Universite_Mans;;;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;;Q834825;https://www.grid.ac/institutes/grid.34566.32;13835503;0000 0001 2172 3046;http://isni.org/isni/0000000121723046;http://dx.doi.org/10.13039/501100005715;R52;Pays de la Loire;University of Maine;https://www.wikidata.org/entity/Q834825;10265;10258;10470;10323;9719;9699;9627;10117;Université pluridisciplinaire hors santé;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0720916E;;;;197209166;501100005715;https://fr.wikipedia.org/wiki/Universit%C3%A9_du_Maine_(France);;;;à;
0751719L;Université Sorbonne Nouvelle - Paris 3;;Université;Public;http://www.univ-paris3.fr/;48.8489, 2.34313;;;;Île-de-France>Paris>Paris 5e;75105;Paris 5e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;;17 RUE DE LA SORBONNE;;;75230;PARIS CEDEX 05;France;0140462897;19751719600014;grid.17689.31;FR0176;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/SorbonneNouvelleP3;https://twitter.com/SorbonneParis3;;http://www.univ-paris3.fr/adminsite/webservices/export_rss.jsp?NOMBRE=10&CODE_RUBRIQUE=&LANGUE=0#KLINK#KLINK;https://www.linkedin.com/edu/school?id=12559&trk=edu-cp-title;;http://plus.franceculture.fr/partenaires/paris-3-sorbonne-nouvelle;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;;Q571293;https://www.grid.ac/institutes/grid.17689.31;;0000 0004 1937 060X;http://isni.org/isni/000000041937060X;;R11;Île-de-France;University of Paris 3 - Sorbonne Nouvelle;https://www.wikidata.org/entity/Q571293;17536;17836;17466;17110;16882;16481;16265;15827;Université tertiaire - lettres et sc. Humaines;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0751719L;;;;197517196;;https://fr.wikipedia.org/wiki/Universit%C3%A9_Sorbonne_Nouvelle_-_Paris_3;;;;à l';
0490970N;Université d'Angers;;Université;Public;http://www.univ-angers.fr/;47.478, -0.548273;;;;Pays de la Loire>Nantes>Maine-et-Loire>Angers;49007;Angers;UU49701;Angers;D049;Maine-et-Loire;A17;Nantes;R52;Pays de la Loire;;40 RUE DE RENNES;;BP 73532;49035;ANGERS CEDEX 1;France;0241962323;19490970100303;grid.7252.2;FR0099;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/univangers;https://twitter.com/UnivAngers;http://www.flickr.com/photos/universiteangers/;http://www.univ-angers.fr/fr/index/flux-rss-1.html;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;;Q1538727;https://www.grid.ac/institutes/grid.7252.2;3911142;0000 0001 2248 3363;http://isni.org/isni/0000000122483363;;R52;Pays de la Loire;University of Angers;https://www.wikidata.org/entity/Q1538727;18922;19090;19528;21132;21220;21875;22573;22887;Université pluridisciplinaire avec santé;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0490970N;;;;194909701;;https://fr.wikipedia.org/wiki/Universit%C3%A9_d%27Angers;;;;à l';
0440984F;Université de Nantes;;Université;Public;http://www.univ-nantes.fr/;47.2097, -1.55587;;;;Pays de la Loire>Nantes>Loire-Atlantique>Nantes;44109;Nantes;UU44701;Nantes;D044;Loire-Atlantique;A17;Nantes;R52;Pays de la Loire;;1 QUAI DE TOURVILLE;;BP 13522;44035;NANTES CEDEX 1;France;0240998383;19440984300019;grid.4817.a;FR0087;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/univnantes;https://twitter.com/UnivNantes;;http://www.univ-nantes.fr/74165974//fiche___pagelibre/&RH=INSTITUTIONNEL_FR;;;;;;;;;;http://www.youtube.com/user/UnivNantes;;;https://www.fun-mooc.fr/universities/universite-de-nantes/;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;;Q259388;https://www.grid.ac/institutes/grid.4817.a;2153532;;;;R52;Pays de la Loire;University of Nantes;https://www.wikidata.org/entity/Q259388;33182;33017;33769;34337;35021;35717;37852;36948;Université pluridisciplinaire avec santé;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0440984F;;;;194409843;;https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Nantes;;;;à l';
